COMMON_orig,SCIENTIFIC_orig,SID_orig,SCIENTIFIC,category,valid,rank,TSN
Pacific cod,Gadus macrocephalus,21720,Gadus macrocephalus,Actinopterygii,valid,species,164711
plain sculpin,Myoxocephalus jaok,21371,Myoxocephalus jaok,Actinopterygii,valid,species,167312
capelin,Mallotus villosus,23041,Mallotus villosus,Actinopterygii,valid,species,162035
Pacific halibut,Hippoglossus stenolepis,10120,Hippoglossus stenolepis,Actinopterygii,valid,species,172932
snow crab,Chionoecetes opilio,68580,Chionoecetes opilio,Arthropoda,valid,species,98428
yellowfin sole,Limanda aspera,10210,Limanda aspera,Actinopterygii,valid,species,172907
fuzzy hermit crab,Pagurus trigonocheirus,69086,Pagurus trigonocheirus,Arthropoda,valid,species,97796
snail  egg,gastropod egg,71001,Gastropoda,Mollusca,valid,class,69459
blackspined sea star,Lethasterias nanimensis,80200,Lethasterias nanimensis,Echinodermata,valid,species,157268
Arctic sand lance,Ammodytes hexapterus,20203,Ammodytes hexapterus,Actinopterygii,valid,species,171672
shortfin eelpout,Lycodes brevipes,24191,Lycodes brevipes,Actinopterygii,valid,species,165258
Kamchatka flounder,Atheresthes evermanni,10112,Atheresthes evermanni,Actinopterygii,valid,species,172861
Alaska plaice,Pleuronectes quadrituberculatus,10285,Pleuronectes quadrituberculatus,Actinopterygii,valid,species,172901
Pacific herring,Clupea pallasii,21110,Clupea pallasii,Actinopterygii,valid,species,551209
sea raspberry,Gersemia sp.,41201,Gersemia,Cnidaria,valid,genus,52039
,Actinostolidae,43100,Actinostolidae,Cnidaria,valid,family,52628
common mud star,Ctenodiscus crispatus,81780,Ctenodiscus crispatus,Echinodermata,valid,species,156940
thorny sculpin,Icelus spiniger,21438,Icelusniger,NA,NA,NA,NA
longfinger hermit,Pagurus rathbuni,69095,Pagurus rathbuni,Arthropoda,valid,species,97802
Tanner crab,Chionoecetes bairdi,68560,Chionoecetes bairdi,Arthropoda,valid,species,98429
sablefish,Anoplopoma fimbria,20510,Anoplopoma fimbria,Actinopterygii,valid,species,167123
hybrid Tanner crab,Chionoecetes hybrid,68590,Chionoecetes,Arthropoda,valid,genus,98427
purple-orange sea star,Asterias amurensis,81742,Asterias amurensis,Echinodermata,valid,species,157216
giant octopus,Enteroctopus dofleini,78403,Enteroctopus dofleini,Mollusca,valid,species,557227
,Chrysaora melanaster,40504,Chrysaora melanaster,Cnidaria,valid,species,51641
Oregon rock crab,Cancer oregonensis,68040,Cancer oregonensis,Arthropoda,valid,species,98677
notched brittlestar,Ophiura sarsii,83320,Ophiura sarsii,NA,NA,NA,NA
green sea urchin,Strongylocentrotus droebachiensis,82510,Strongylocentrotus droebachiensis,Echinodermata,valid,species,157969
hairy hermit crab,Pagurus capillatus,69120,Pagurus capillatus,Arthropoda,valid,species,97780
sea onion,Boltenia ovifera,98105,Boltenia ovifera,Urochordata,valid,species,159485
arrowtooth flounder,Atheresthes stomias,10110,Atheresthes stomias,Actinopterygii,valid,species,172862
,Leptasterias polaris,80590,Leptasterias polaris,Echinodermata,valid,species,157240
sea cucumber unid.,Holothuroidea,85000,Holothuroidea,Echinodermata,valid,class,158140
knobbyhand hermit,Pagurus confragosus,69070,Pagurus confragosus,Arthropoda,valid,species,97793
empty bivalve shells,,99993,,NA,NA,NA,NA
Bering skate,Bathyraja interrupta,435,Bathyraja interrupta,Chondrichthyes,valid,species,160937
walleye pollock,Gadus chalcogrammus,21740,Gadus chalcogrammus,Actinopterygii,valid,species,934083
basketstar,Gorgonocephalus eucnemis,83020,Gorgonocephalus eucnemis,Echinodermata,valid,species,157360
Alaska skate,Bathyraja parmifera,471,Bathyraja parmifera,Chondrichthyes,valid,species,160939
butterfly sculpin,Hemilepidotus papilio,21348,Hemilepidotus papilio,NA,NA,NA,NA
circumboreal toad crab,Hyas coarctatus,68577,Hyas coarctatus,Arthropoda,valid,species,98423
Pribilof whelk,Neptunea pribiloffensis,71820,Neptunea pribiloffensis,Mollusca,valid,species,73990
bigmouth sculpin,Hemitripterus bolini,21420,Hemitripterus bolini,Actinopterygii,valid,species,167287
rex sole,Glyptocephalus zachirus,10200,Glyptocephalus zachirus,Actinopterygii,valid,species,172978
splendid hermit,Labidochirus splendescens,69061,Labidochirusendescens,NA,NA,NA,NA
blue king crab,Paralithodes platypus,69323,Paralithodes platypus,Arthropoda,valid,species,97936
Alaskan hermit,Pagurus ochotensis,69090,Pagurus ochotensis,Arthropoda,valid,species,97777
,Neptunea heros,71884,Neptunea heros,Mollusca,valid,species,74007
northern rock sole,Lepidopsetta polyxystra,10261,Lepidopsetta polyxystra,Actinopterygii,valid,species,616392
,Stomphia sp.,43030,Stomphia,Cnidaria,valid,genus,52629
sturgeon poacher,Podothecus accipenserinus,20040,Podothecus accipenserinus,Actinopterygii,valid,species,644358
empty gastropod shells,,99994,,NA,NA,NA,NA
rainbow smelt,Osmerus mordax,23055,Osmerus mordax,Actinopterygii,valid,species,162041
lyre whelk,Neptunea lyrata,71870,Neptunea lyrata,Mollusca,valid,species,73977
wattled eelpout,Lycodes palearis,24185,Lycodes palearis,Actinopterygii,valid,species,165265
sea potato,Styela rustica,98082,Styela rustica,Urochordata,valid,species,159309
Oregon triton,Fusitriton oregonensis,72500,Fusitriton oregonensis,Mollusca,valid,species,73018
marbled eelpout,Lycodes raridens,24184,Lycodes raridens,Actinopterygii,valid,species,165267
angular whelk,Buccinum angulosum,72743,Buccinum angulosum,Mollusca,valid,species,73728
,Strongylocentrotus sp.,82511,Strongylocentrotus,Echinodermata,valid,genus,157968
jellyfish unid.,Scyphozoa,40500,Scyphozoa,Cnidaria,valid,class,51483
obscure sea star,Pteraster obscurus,81355,Pteraster obscurus,Echinodermata,valid,species,157110
Bering poacher,Occella dodecaedron,20061,Occella dodecaedron,Actinopterygii,valid,species,167456
threaded sculpin,Gymnocanthus pistilliger,21314,Gymnocanthus pistilliger,Actinopterygii,valid,species,167274
,Tritonia sp.,71025,Tritonia,Mollusca,valid,genus,78472
,Neptunea borealis,71835,Neptunea borealis,NA,NA,NA,NA
purple hermit,Elassochirus cavimanus,69121,Elassochirus cavimanus,Arthropoda,valid,species,97838
giant scale worm,Eunoe nodosa,56311,Eunoe nodosa,Annelida,valid,species,64436
rusty moonsnail,Cryptonatica russa,71537,Cryptonatica russa,Mollusca,valid,species,567439
,Plicifusus kroyeri,71891,Plicifusus kroyeri,NA,NA,NA,NA
longhead dab,Limanda proboscidea,10211,Limanda proboscidea,Actinopterygii,valid,species,172911
swimming anemone,Stomphia coccinea,43032,Stomphia coccinea,Cnidaria,valid,species,52630
,Boltenia sp.,98100,Boltenia,Urochordata,valid,genus,159484
flathead sole,Hippoglossoides elassodon,10130,Hippoglossoides elassodon,Actinopterygii,valid,species,172875
,Leptasterias arctica,80594,Leptasterias arctica,Echinodermata,valid,species,157228
hairy cockle,Ciliatoclinocardium ciliatum,74983,Ciliatoclinocardium ciliatum,NA,NA,NA,NA
parma sand dollar,Echinarachnius parma,82740,Echinarachnius parma,Echinodermata,valid,species,158016
,Crangon sp.,66502,Crangon,Arthropoda,valid,genus,97107
daubed shanny,Leptoclinus maculatus,23805,Leptoclinus maculatus,Actinopterygii,valid,species,171603
oblique smoothcockle,Serripes notabilis,75287,Serripes notabilis,Mollusca,valid,species,568282
sponge unid.,Porifera,91000,Porifera,Porifera,valid,phylum,46861
helmet crab,Telmessus cheiragonus,68781,Telmessus cheiragonus,Arthropoda,valid,species,98663
clay pipe sponge,Aphrocallistes vastus,91030,Aphrocallistes vastus,Porifera,valid,species,47444
Alaskan pink shrimp,Pandalus eous,66031,Pandalus eous,Arthropoda,valid,species,621110
ladder whelk,Buccinum scalariforme,72752,Buccinum scalariforme,Mollusca,valid,species,73737
polar whelk,Buccinum polare,72755,Buccinum polare,NA,NA,NA,NA
starry flounder,Platichthys stellatus,10220,Platichthys stellatus,Actinopterygii,valid,species,172893
smoothskin octopus,Benthoctopus leioderma,78012,Benthoctopus leioderma,Mollusca,valid,species,557220
Bering flounder,Hippoglossoides robustus,10140,Hippoglossoides robustus,Actinopterygii,valid,species,172876
great sculpin,Myoxocephalus polyacanthocephalus,21370,Myoxocephalus polyacanthocephalus,Actinopterygii,valid,species,167315
,Metridium sp.,43010,Metridium,Cnidaria,valid,genus,52736
Greenland turbot,Reinhardtius hippoglossoides,10115,Reinhardtius hippoglossoides,Actinopterygii,valid,species,172930
Aleutian alligatorfish,Aspidophoroides monopterygius,20050,Aspidophoroides monopterygius,Actinopterygii,valid,species,167439
,Serripes sp.,75284,Serripes,Mollusca,valid,genus,80878
shrew whelk,Colus halli,71731,Colus halli,NA,NA,NA,NA
variegated snailfish,Liparis gibbus,22205,Liparis gibbus,Actinopterygii,valid,species,167561
barnacle unid.,Thoracica,65100,Thoracica,Arthropoda,valid,superorder,89434
,Aequorea sp.,40506,Aequorea,Cnidaria,valid,genus,50623
Pacific ocean perch,Sebastes alutus,30060,Sebastes alutus,Actinopterygii,valid,species,166707
yellow Irish lord,Hemilepidotus jordani,21347,Hemilepidotus jordani,Actinopterygii,valid,species,167280
whitespotted greenling,Hexagrammos stelleri,21932,Hexagrammos stelleri,Actinopterygii,valid,species,167113
thin-ribbed whelk,Colus herendeenii,71721,Colus herendeenii,Mollusca,valid,species,73895
shorthorn (=warty) sculpin,Myoxocephalus scorpius,21368,Myoxocephalus scorpius,Actinopterygii,valid,species,167318
Sakhalin sole,Limanda sakhalinensis,10212,Limanda sakhalinensis,Actinopterygii,valid,species,616064
sawback poacher,Leptagonus frenatus,20006,Leptagonus frenatus,NA,NA,NA,NA
red king crab,Paralithodes camtschaticus,69322,Paralithodes camtschaticus,Arthropoda,valid,species,97935
,Balanus sp.,65201,Balanus,Arthropoda,valid,genus,89600
,Oregonia sp.,68501,Oregonia,Arthropoda,valid,genus,98418
Alaska razor,Siliqua alta,75267,Siliqua alta,Mollusca,valid,species,81009
saffron cod,Eleginus gracilis,21735,Eleginus gracilis,Actinopterygii,valid,species,164708
Pacific lyre crab,Hyas lyratus,68578,Hyas lyratus,Arthropoda,valid,species,98422
,Clinocardium sp.,74980,Clinocardium,Mollusca,valid,genus,80866
keeled Aforia,Aforia circinata,72063,Aforia circinata,Mollusca,valid,species,75203
depressed scale worm,Eunoe depressa,56312,Eunoe depressa,Annelida,valid,species,64435
,Urticina sp.,43040,Urticina,Cnidaria,valid,genus,52569
Greenland shrimp,Eualus macilentus,66179,Eualus macilentus,Arthropoda,valid,species,96815
empty barnacle shells,,99991,,NA,NA,NA,NA
spinyhead sculpin,Dasycottus setiger,21390,Dasycottus setiger,Actinopterygii,valid,species,167265
Arctic cod,Boreogadus saida,21725,Boreogadus saida,Actinopterygii,valid,species,164706
horsehair crab,Erimacrus isenbeckii,69400,Erimacrus isenbeckii,Arthropoda,valid,species,98665
Aleutian hermit,Pagurus aleuticus,69060,Pagurus aleuticus,Arthropoda,valid,species,97778
red trumpet calcareous tubeworm,Serpula columbiana,57411,Serpula columbiana,NA,NA,NA,NA
slender eelblenny,Lumpenus fabricii,23807,Lumpenus fabricii,Actinopterygii,valid,species,631020
,Aphrodita negligens,50192,Aphrodita negligens,Annelida,valid,species,64363
,Argis sp.,66570,Argis,Arthropoda,valid,genus,97160
polychaete worm unid.,Polychaeta,50000,Polychaeta,Annelida,valid,class,64358
Alaska skate egg case,Bathyraja parmifera egg case,474,Bathyraja parmifera,Chondrichthyes,valid,species,160939
fat whelk,Neptunea ventricosa,71882,Neptunea ventricosa,Mollusca,valid,species,73986
mottled anemone,Urticina crassicornis,43042,Urticina crassicornis,NA,NA,NA,NA
,Volutopsius sp.,71750,Volutopsius,Mollusca,valid,genus,74046
,Beringius stimpsoni,71774,Beringius stimpsoni,Mollusca,valid,species,73882
,Virgulariidae,42003,Virgulariidae,Cnidaria,valid,family,52386
Arctic surfclam,Mactromeris polynyma,75111,Mactromeris polynyma,Mollusca,valid,species,80983
,Leptychaster anomalus,81829,Leptychaster anomalus,Echinodermata,valid,species,156889
lion's mane,Cyanea capillata,40561,Cyanea capillata,Cnidaria,valid,species,51671
eastern Pacific bobtail,Rossia pacifica,79020,Rossia pacifica,Mollusca,valid,species,82338
,Buccinum sp.,72740,Buccinum,Mollusca,valid,genus,73727
Alaska great-tellin,Tellina lutea,75205,Tellina lutea,Mollusca,valid,species,81076
kuro argid,Argis lar,66611,Argis lar,Arthropoda,valid,species,97161
,Tellina sp.,75201,Tellina,Mollusca,valid,genus,81074
sinuous whelk,Buccinum plectrum,72751,Buccinum plectrum,Mollusca,valid,species,73777
northern horsemussel,Modiolus modiolus,74060,Modiolus modiolus,Mollusca,valid,species,79501
,Beringius beringii,71772,Beringius beringii,NA,NA,NA,NA
,Eualus sp.,66170,Eualus,Arthropoda,valid,genus,96801
swollen whelk,Buccinum oedematum,72747,Buccinum oedematum,Mollusca,valid,species,73732
weathervane scallop,Patinopecten caurinus,74120,Patinopecten caurinus,Mollusca,valid,species,79757
leech unid.,Hirudinea,59100,Lumbriculata,Annelida,valid,subclass,1048704
,Gersemia rubiformis,41221,Gersemia rubiformis,Cnidaria,valid,species,52037
sea anemone unid.,Actiniaria,43000,Actiniaria,Cnidaria,valid,order,52485
,Colus sp.,71710,Colus,Mollusca,valid,genus,73892
ribbed bryozoan,Rhamphostomella costata,95070,Rhamphostomella costata,NA,NA,NA,NA
helmet whelk,Clinopegma magnum,71886,Clinopegma magnum,Mollusca,valid,species,567374
shouldered whelk,Volutopsius stefanssoni,71763,Volutopsius stefanssoni,NA,NA,NA,NA
,Henricia sp.,80540,Henricia,Echinodermata,valid,genus,157152
Atka mackerel,Pleurogrammus monopterygius,21921,Pleurogrammus monopterygius,Actinopterygii,valid,species,167120
peachskin snailfish,Careproctus scottae,22232,Careproctus scottae,Actinopterygii,valid,species,167515
ribbed sculpin,Triglops pingeli,21355,Triglops pingeli,NA,NA,NA,NA
fragile whelk,Volutopsius fragilis,71756,Volutopsius fragilis,Mollusca,valid,species,74059
tentacle-shedding anemone,Liponema brevicorne,43090,Liponema brevicorne,NA,NA,NA,NA
rose sea star,Crossaster papposus,81095,Crossaster papposus,Echinodermata,valid,species,157066
searcher,Bathymaster signatus,20720,Bathymaster signatus,Actinopterygii,valid,species,170949
,Aplidium sp.,98312,Aplidium,Urochordata,valid,genus,159038
Arctic argid,Argis dentata,66580,Argis dentata,Arthropoda,valid,species,97162
monster snailfish,Careproctus phasma,22226,Careproctus phasma,Actinopterygii,valid,species,167510
chum salmon,Oncorhynchus keta,23235,Oncorhynchus keta,Actinopterygii,valid,species,161976
nemertean worm unid.,Nemertea,92500,Nemertea,NA,NA,NA,NA
bryozoan unid.,Bryozoa,95000,Bryozoa,NA,NA,NA,NA
,Pyrulofusus melonis,71761,Pyrulofusus melonis,Mollusca,valid,species,568244
nudibranch unid.,Nudibranchia,71010,Nudibranchia,Mollusca,valid,order,78156
discordant mussel,Musculus discors,74562,Musculus discors,Mollusca,valid,species,79475
,Mysidae,64100,Mysidae,Arthropoda,valid,family,89856
,Macoma sp.,75240,Macoma,Mollusca,valid,genus,81033
Pacific sleeper shark,Somniosus pacificus,320,Somniosus pacificus,Chondrichthyes,valid,species,160610
big skate,Beringraja binoculata,420,Beringraja binoculata,NA,NA,NA,NA
dorid nudibranch unid.,Dorididae,71250,Dorididae,Mollusca,valid,family,78206
giant sea star,Evasterias echinosoma,80020,Evasterias echinosoma,Echinodermata,valid,species,157223
sunflower sea star,Pycnopodia helianthoides,80160,Pycnopodia helianthoides,Echinodermata,valid,species,157274
sea football,Cucumaria fallax,85201,Cucumaria fallax,Echinodermata,valid,species,158211
sea peach,Halocynthia aurantium,98205,Halocynthia aurantium,Urochordata,valid,species,159499
kelp greenling,Hexagrammos decagrammus,21935,Hexagrammos decagrammus,Actinopterygii,valid,species,167110
warped whelk,Pyrulofusus deformis,71753,Pyrulofusus deformis,Mollusca,valid,species,74045
,Bathyraja interrupta egg case,436,Bathyraja interrupta,Chondrichthyes,valid,species,160937
skate egg case unid.,,401,,NA,NA,NA,NA
,Suberites sp.,91015,Suberites,Porifera,valid,genus,48485
pale moonsnail,Lunatia pallida,71580,Lunatia pallida,NA,NA,NA,NA
graceful decorator crab,Oregonia gracilis,68510,Oregonia gracilis,Arthropoda,valid,species,98419
butter sole,Isopsetta isolepis,10270,Isopsetta isolepis,Actinopterygii,valid,species,172919
rosy Tritonia,Tritonia diomedea,71030,Tritonia diomedea,Mollusca,valid,species,78474
humpy shrimp,Pandalus goniurus,66045,Pandalus goniurus,Arthropoda,valid,species,96968
whiteblotched skate,Bathyraja maculata,480,Bathyraja maculata,Chondrichthyes,valid,species,564263
compound ascidian unid.,,98300,,NA,NA,NA,NA
,Beringius sp.,71769,Beringius,Mollusca,valid,genus,73875
,Halipteris willemoesi,42012,Halipteris willemoesi,Cnidaria,valid,species,719253
comb jelly unid.,Ctenophora,45000,Ctenophora,NA,NA,NA,NA
spectacled sculpin,Triglops scepticus,21354,Triglops scepticus,Actinopterygii,valid,species,167374
spiny lebbeid,Lebbeus groenlandicus,66203,Lebbeus groenlandicus,Arthropoda,valid,species,96787
Aleutian skate,Bathyraja aleutica,472,Bathyraja aleutica,Chondrichthyes,valid,species,160935
spatulate sculpin,Icelus spatula,21441,Icelustula,NA,NA,NA,NA
eulachon,Thaleichthys pacificus,23010,Thaleichthys pacificus,Actinopterygii,valid,species,162051
festive Tritonia,Tritonia festiva,71026,Tritonia festiva,Mollusca,valid,species,78476
threaded whelk,Lussivolutopsius filosus,71759,Lussivolutopsius filosus,Mollusca,valid,species,567835
chevron-tentacled anemone,Cribrinopsis fernaldi,43082,Cribrinopsis fernaldi,Cnidaria,valid,species,52577
northern nutclam,Nuculana pernula,74436,Nuculana pernula,Mollusca,valid,species,79192
widehand hermit crab,Elassochirus tenuimanus,69110,Elassochirus tenuimanus,Arthropoda,valid,species,97837
Bering Henricia,Aleutihenricia beringiana,80597,Aleutihenricia beringiana,Echinodermata,valid,species,989353
,Yoldia sp.,74414,Yoldia,Mollusca,valid,genus,79258
,Neptunea sp.,71800,Neptunea,Mollusca,valid,genus,73975
Greenland cockle,Serripes groenlandicus,75285,Serripes groenlandicus,Mollusca,valid,species,80879
bent-nose Macoma,Macoma nasuta,75241,Macoma nasuta,Mollusca,valid,species,81050
peanut worm unid.,Sipuncula,94000,Sipuncula,NA,NA,NA,NA
northern Yoldia,Yoldia hyperborea,74420,Yoldia hyperborea,Mollusca,valid,species,79261
Alaskan lobed sponge,Stelodoryx alaskensis,91237,Stelodoryx alaskensis,Porifera,valid,species,48107
Bering wolffish,Anarhichas orientalis,20322,Anarhichas orientalis,Actinopterygii,valid,species,171337
hydroid unid.,Hydroidolina,40011,Hydroidolina,Cnidaria,valid,subclass,718924
Arctic Hiatella,Hiatella arctica,74311,Hiatella arctica,Mollusca,valid,species,81765
black coral,Antipatharia,41525,Antipatharia,Cnidaria,valid,order,51940
armorhead sculpin,Gymnocanthus galeatus,21316,Gymnocanthus galeatus,Actinopterygii,valid,species,167273
,Neoberingius frielei,71771,Neoberingius frielei,Mollusca,valid,species,567936
purplegray sculpin,Gymnocanthus detrisus,21329,Gymnocanthus detrisus,Actinopterygii,valid,species,167272
,Polychaete tubes,99998,Polychaete,NA,NA,NA,NA
spotted red anemone,Urticina lofotensis,43043,Urticina lofotensis,NA,NA,NA,NA
moonsnail egg unid.,Naticidae egg,71511,Naticidae,Mollusca,valid,family,72878
,Pyrulofusus sp.,71747,Pyrulofusus,Mollusca,valid,genus,74043
ridged Crangon,Crangon dalli,66530,Crangon dalli,Arthropoda,valid,species,97113
blue mussel,Mytilus edulis,74080,Mytilus edulis,Mollusca,valid,species,79454
,Alcyonidium pedunculatum,95036,Alcyonidium pedunculatum,NA,NA,NA,NA
isopod unid.,Isopoda,62000,Isopoda,Arthropoda,valid,order,92120
tunicate unid.,Ascidiacea,98000,Ascidiacea,Urochordata,valid,class,158854
chrysaora jellyfish,Chrysaora sp.,40501,Chrysaora,Cnidaria,valid,genus,51640
,Eunoe sp.,56310,Eunoe,Annelida,valid,genus,64433
striped sea leech,Notostomum cyclostomum,59111,Notostomum cyclostomum,Annelida,valid,species,568935
,Neptunea middendorffii,71840,Neptunea middendorffii,NA,NA,NA,NA
,Cyclocardia sp.,74656,Cyclocardia,Mollusca,valid,genus,80733
,Polymastia sp.,91074,Polymastia,Porifera,valid,genus,48506
